Venue Name,Location,Rating,Reviews,Overview,Ambience,Services Offered,Facilities,Space Capacity,Operating Time,USPs,Cash,UPI,Credit Card,Net Banking,Cheque,Paytm,Google Pay,PhonePe,Out_decor_Allowed,Both_decor,Only_panel_decor,Out_Catering_allowed,Inhouse_Catering_Only,Both_Catering_allowed
Shakthi Palace,"Valasaravakkam, Chennai",2.0,1,"Shakthi Palace, Valasaravakkam, Chennai, is an exemplary and budget-friendly destination to host your South Indian style marriage and reception ceremony.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Hall 2 at Shakthi Palace (Indoor) - 750,750,6:00 - 5:00,Not specified,1,0,0,1,0,0,0,0,0,0,1,0,0,1
S R K Mahal,"Madipakkam, Chennai",2.0,1,"S R K Mahal, Madipakkam, Chennai is one of the most beautiful yet elegant venues. It is ideal for all grandiose gatherings, weddings, social events, engagement parties, and more.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",S R K Mahal (Indoor) - 750,750,6:00 - 5:00,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Aarna Mahal,"Madipakkam, Chennai",2.0,1,"Aarna Mahal, Madipakkam, Chennai is truly a palatial place where you can celebrate the beginning of your holy matrimony.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Aarna Mahal (Indoor) - 750,750,6:00 - 11:00 PM,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Sree Ganesh Mahal,"Madipakkam, Chennai",2.0,1,"Sree Ganesh Mahal, Madipakkam, Chennai is one of the most touted and adored venues in this happening neighborhood. It is ideally suited for hosting all social gatherings, birthday parties, anniversary bashes, get-togethers along with social events.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Sree Ganesh Mahal (Indoor) - 750,750,6:00 - 5:00,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Sri Vishnu Mahal,"Avadi, Chennai",2.0,1,"Host events like never before at Sri Vishnu Mahal, Avadi, Chennai, and make it forever memorable for you and all your close ones. A classic for events like a grand birthday party, a wedding anniversary party, pre-wedding ritual and ceremony, wedding or wedding reception, the venue will surely take your breath away with services and facilities they have to offer.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Sri Vishnu Mahal (Indoor) - 600,600,6:00 - 5:00,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Kamakshi Hall,"Mambalam, Chennai",2.0,1,"Kamakshi Hall, Mambalam, Chennai is located on Mahadevan Street which makes it accessible to your guests. The venue is maintained properly and has well designed interiors.",Not specified,"Power Backup, WiFi, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Hall 2 at Kamakshi Hall (Indoor) - 250,250,6:00 - 10:00 PM,Not specified,1,0,0,1,0,0,0,0,1,0,0,0,0,1
Srs Hall,"Mambalam, Chennai",2.0,1,"SRS Hall, Mambalam, Chennai is a simple yet elegant venue to host your wedding and reception ceremony.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",SRS Hall (Indoor) - 300,300,9:00 - 11:30 PM,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
PSB Conventions,"Ambattur, Chennai",2.0,1,"PSB Conventions, Ambattur, Chennai is an excellent place to celebrate getting married while surrounded by your loved ones.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",PSB Conventions (Indoor) - 1400,1400,6:00 - 5:00,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Chennai Convention Centre Marriage Hall,"Injambakkam, Chennai",2.0,1,"Chennai Convention Centre, Injambakkam, Chennai, is a great venue to host wedding and reception ceremonies with grandeur.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Lawn (Indoor) at Chennai Convention Centre Marriage Hall - 1100,1100,6:00 - 5:00,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Gopinath Gardens,"Injambakkam, Chennai",2.0,1,"Gopinath Gardens, Injambakkam, Chennai is a charismatic venue consisting of a large lawn and luxurious banquet hall, ideal for wedding and reception ceremonies, anniversaries, pre-wedding events, social and cultural events, formal gatherings and so on.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Gopinath Gardens (Outdoor) - 3000,3000,6:00 - 5:00,Alcohol Allowed,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Zareen Valley,"Perungalathur, Chennai",2.0,1,"Zareen Valley, Perungalathur, Chennai, is a basic venue to host your wedding and reception ceremony.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Zareen Valley (Indoor + Outdoor) - 450,450,6:00 - 5:00,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Hotel Grand Padappai Residency,"Padappai, Chennai",2.0,1,"Hosting a remarkable event is every host’s dream, and for that, you need to find an elegant venue.",Not specified,"DJ Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed","Hall (Outdoor) at Hotel Grand Padappai Residency - 400, Rooftop (Outdoor) at Hotel Grand Padappai Residency - 150",400,7:00 - 11:00 PM,Not specified,1,0,0,1,0,0,0,0,0,0,1,0,1,0
Lakshmi Gardens,"Ecr Beach, Chennai",2.0,1,"Delve into the majestic beauty of Lakshmi Gardens, East Coast Road (ECR), Chennai.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Lawn (Indoor) at Lakshmi Gardens - 150,150,07:00 - 06:00,Alcohol Allowed,1,0,0,1,0,0,0,0,0,0,1,0,0,1
Sri Krishna Hall,"Adyar, Chennai",3.8,1,Sri Krishna Hall is well located and fully furnished hall in its own locality.,Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed","Dinning Hall (Indoor) at Sri Krishna Hall - 100, Banquet Hall (Indoor) at Sri Krishna Hall - 150",100,24x7,Not specified,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Anika Villa,"Kelambakkam, Chennai",2.0,1,"Anika Villa, Chennai has decorators to do the adornment of the lawn. This venue lets you outsource outside caterers here to serve mouth-watering meals in vegetarian and non-vegetarian delicacies or you can opt-in for the in-house caterers as well. The people here are amiable enough and will take care of everything so that you can sit back and enjoy your function. It offers ample parking spots and rooms for accommodation for everyones convenience.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Lawn (Outdoor),200,06:00 to 05:00,Alcohol Allowed,1,0,1,0,1,0,0,0,0,0,1,0,0,1
Shri Umadri Mahal,"Sholinganallur, Chennai",2.0,1,"Shri Umadri Mahal, Sholinganallur, Chennai, is a lovely place to get married in the presence of your near and dear ones. It is perfect for hosting pre-wedding rituals such as sangeet, haldi, mehndi, ring ceremonies, big fat weddings, grand receptions, and many more functions.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed","Lawn (Indoor + Outdoor), Hall 2 (Indoor + Outdoor), Hall 1 (Indoor + Outdoor)",200,24x7,Not specified,1,0,0,1,1,0,0,0,0,1,0,1,0,0
Kriyates Banquet Hall And Lawn,"Thoraipakkam, Chennai",2.0,1,"When you are planning to get married to the love of your life, the venue is one of the most important things to deal with. Worry not as Kriyates Banquet Hall And Lawn, Thoraipakkam, Chennai, is the solution. This substantial venue is made up of a couple of banquet halls and a sprawling lawn of varying capacities.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed","Lawn (Indoor + Outdoor), Hall 2 (Indoor + Outdoor), Hall 1 (Indoor + Outdoor)",700,7:00 to 6:00,Alcohol Allowed,1,0,0,1,1,0,0,0,0,1,0,0,0,1
Firms Banquet Hall,"Annanagar East, Chennai",3.0,1,"Firms Banquet Hall, Anna Nagar, Chennai, is a premium banqueting facility managed by Star Hotels and hospitality industry to render a memorable event experience. Enjoy a family get-together at the breezy terrace lawn, or have a funky birthday bash at their multiple indoor spaces.",Not specified,"AV Equipment, DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Banquet Hall (Indoor),250,24x7,Alcohol Allowed,1,0,1,1,0,0,0,0,0,0,1,0,0,1
Shri Balaajee Bhavan,"Annanagar East, Chennai",3.0,1,"Your indoor gathering now has a perfect address in Shri Balaajee Bhavan, Anna Nagar, Chennai. Located on 1st Avenue and close to the Valliammal Matric Hr Sec School, this venue houses a lovely banquet hall. Best suited for pre-wedding functions and social gatherings this banquet hall is heavy on features and light on your pockets.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Banquet Hall (Indoor),300,24x7,Alcohol Allowed,1,0,1,1,0,0,0,0,0,0,1,0,0,1
Jeeva Mahal,"Annanagar East, Chennai",3.0,1,"Jeeva Mahal, Anna Nagar, Chennai is a modest and budget-friendly destination to host your social and auspicious affairs. Located at a close distance from the Tirumullaivayil Railway Station, the venue becomes easily accessible for all. It offers a cozy and dainty hall, with enough capacity to hold a small to a medium-sized crowd. Jeeva Mahal, Thirumullaivoyal is ideal for hosting your social events, birthdays, anniversaries, family get-togethers, in addition to business meetings, conferences, seminars, cultural events, community gatherings, and corporate engagements. Jeeva Mahal, Chennai also looks after the needs and comfort of your outstation guests and provides stay facilities with all the basic amenities. With a team of professionals at the venue to take care of all the decor and set-up for your important day, ensures that you dont get into the hassles and can enjoy your events. Scrumptious vegetarian and non-vegetarian delicacies are curated by the banquet. So head over at Jeeva Mahal, Anna Nagar, Chennai and have a delightful experience.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Banquet Hall (Indoor),550,6:00 to 5:00,Alcohol Allowed,1,0,1,1,0,0,0,0,0,0,1,0,0,1
Risa Banquets,"Vettuvankeni, Chennai",2.0,1,"Risa Banquets is a well located and fully furnished restaurant in it`s own locality. We always take care of our guests and their desires they look for from us. Ballroom at Risa Banquets is best for events in Vettuvankeni, Chennai.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed","Ballroom (Indoor), Grand Hall (Indoor), Lounge (Indoor), The Crystal Hall (Indoor)",2500,11:00 to 08:00,Not specified,1,0,0,1,0,0,0,0,0,0,1,1,0,0
Mcc Marriage Hall,"Ecr Beach, Chennai",2.0,1,"MCC Marriage Hall was established with a noble cause to offer space for organizing events. Located in Chennai’s beautiful ECR area, this is a stunning venue, perfect for any event like Wedding halls in ECR, Marriage halls in ECR, Birthday party halls in ECR, Kalyana Mandapam in ECR, and Convention centre in ECR. From personal and business events to leisure and retreat activities, no matter what your requirement is, MCC Marriage Hall offers a truly special space.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed","Lawn (Outdoor), Hall 3 (Indoor), Hall 2 (Indoor), Hall 1 (Indoor)",900,11:00 - 11:00 PM,Alcohol Allowed,1,1,0,1,0,0,0,0,0,0,1,0,1,0
Aura Central,"Kilpauk, Chennai",2.0,1,"Aura Central Banquet And Wedding Hall is a wedding venue located in Chennai. They provide varied services with world-class infrastructure available for all types of Meetings, Special Occasions, Engagement & Reception parties, Dinner & Lunch buffets, etc. Auralia 1 at Aura Central is best for events in Kilpauk, Chennai.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed","Aurata (Indoor), Auralia 2 (Indoor), Auralia 1 (Indoor)",350,11:00 - 11:00 PM,Not specified,1,1,0,1,0,0,0,0,0,0,1,0,1,0
Gazelle Garden Lawn Party Hall,"Old Mahabalipuram Road (OMR), Chennai",2.0,1,"Gazelle Garden Lawn Party Hall is a spacious and budget-friendly destination to ring in your wedding and reception ceremonies. It is located on the Old Mahabalipuram Road which makes it convenient for all to reach there. Gazelle Garden Lawn Party Hall, Injambakkam, Chennai is ideal for hosting your private parties, birthdays, anniversaries, kitty parties, family get-togethers, bridal showers, engagement, and pre-wedding ceremonies. With flexible morning and evening slots provided by the venue, you can easily host your function according to your suitable timing. Gazelle Garden Lawn Party Hall, Chennai can easily accommodate a large gathering for your functions. The team of professionals at the venue takes care of decoration services for your big day. It also allows you to get your choice of decorators from outside to decorate the venue as per your requirements. The venue serves scrumptious vegetarian and non-vegetarian delicacies to its guests. So what are you waiting for? Book Gazelle Garden Lawn Party Hall, Old Mahabalipuram Road, Chennai to make your events a happening affair.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Lawn (Outdoor),800,10:00 - 10:00,Not specified,1,1,0,1,0,0,0,0,0,0,1,0,1,0
Mgm Beach Resorts,"Muttukadu, Chennai",2.0,1,"MGM Beach Resort is an exquisite banquet hall that is located in Muttukadu. They are recognised for their excellence and an unmatched level of services to its guests. Their main motto is to provide the best experience to their clients at the most flexible price and with the best quality services. Lawn 1 at Mgm Beach Resorts is best for events in Muttukadu, Chennai.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Resorts Party Lawns Wedding Resorts Marriage Lawns Marriage Gardens,2500,11:00 - 11:00 PM,Alcohol Allowed,1,1,0,1,0,0,0,0,0,0,1,0,1,0
Vaibhavam The Party Lawn,"Ecr Beach, Chennai",2.0,1,"Vaibhavam The Party Lawn is a wedding lawn farmhouse located in Chennai. They offer a wide range of venue services and packages at budget-friendly rates. Vaibhavam The Party Lawn is best for events in Ecr Beach, Chennai.",Not specified,"Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Party Lawns Marriage Lawns Marriage Gardens,700,11:00 - 11:00 PM,Not specified,1,1,0,1,0,0,0,0,0,1,0,0,0,1
Eldoris Hotels Resorts,"Thiruvanmiyur, Chennai",2.0,1,"Eldoris Hotels Resorts is a wedding venue based out in the city of Chennai. They offer all-inclusive packages and a range of services to alleviate stress from the wedding planning process. Samudra at Eldoris Hotels Resorts is best for events in Thiruvanmiyur, Chennai.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Roof Top Spaces,200,11:00 - 11:00 PM,Not specified,1,1,0,1,0,0,0,0,0,0,1,0,1,0
Mamalla Beach Resort,"Mamallapuram, Chennai",2.0,1,"Located just 60 kms south of Chennai, Mamallapuram, is a quaint little seashore town. Mamalla Beach Resort offers a pristine beach and well-appointed rooms for holidays and events. Lawn at Mamalla Beach Resort is best for events in Mamallapuram, Chennai.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Resorts Party Lawns Wedding Resorts Marriage Lawns Kids Play Areas Amusement Centers Marriage Gardens,1000,11:00 - 11:00 PM,Not specified,1,1,0,1,0,0,0,0,0,0,1,0,1,0
Shelter Beach Resorts,"Ecr Beach, Chennai",2.0,1,"Located on the shores of Bay of Bengal, Shelter Beach Resorts offer contemporary amenities including a private beach, spa, swimming pool, and more. Restaurant at Shelter Beach Resorts is best for events in Ecr Beach, Chennai.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Restaurants,52,11:00 to 11:00 PM,Not specified,1,1,0,1,0,0,0,0,0,0,1,0,1,0
Marlen Mahal,"Kilpauk, Chennai",2.0,1,"Marlen Mahal, Kilpauk, Chennai, is a great banquet to host a number of types of events. You can organize and celebrate all of your wedding and pre-wedding ceremonies too. The staff of Marlen Mahal, Chennai, is well-trained and courteous and makes sure the host is completely relaxed during the time of the event and enjoy with the rest of the guests. Lawn at Marlen Mahal is best for events in Kilpauk, Chennai.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Party Lawns Marriage Lawns Marriage Gardens,70,11:00 - 11:00 PM,Alcohol Allowed,1,1,0,1,0,0,0,0,0,0,1,0,1,0
Atlantis Mini Banquet Hall,"Annanagar East, Chennai",2.0,1,"Our Mini Banquet Hall with Modern, Elegant, luxurious Exterior and Interior Decorated (comes in the package) which gives ultra rich experience for all our customers who walk in to our hall for big eventful day of their life. Our mini hall has rich wallpapers inspired by Luxury 5 stars hotels from Newyork. Our Genuinely knowledgeable cheerful staffs will make our client feel comfortable and important. Our min Banquet hall is located in the heart of Annanagar near metro station will make guests less hassle to find our mini hall. Atlantis Mini Banquet Hall is best for events in Annanagar East, Chennai.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Banquet Halls Marriage Halls Party Halls,150,11:00 - 11:00 PM,Not specified,1,1,0,1,0,0,0,0,0,0,1,0,1,0
Vm Grand Mahal,"Selaiyur, Chennai",2.0,1,"VM Grand Mahal is the perfect blend of elegance and luxury, making it an ideal venue for various ceremonies such as weddings, receptions, betrothals, sangeet ceremonies, birthdays, corporate events, and more. Whether you’re planning a large-scale gathering or an intimate affair, VM Grand Mahal caters to events of all sizes. Our venue is designed to provide a sophisticated and refined ambiance, ensuring that every moment of your special occasion is memorable. Vm Grand Mahal is best for events in Selaiyur, Chennai.",Not specified,"Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Banquet Halls Marriage Halls Party Halls,500,11:00 to 11:00 PM,Not specified,1,1,0,1,0,0,0,0,1,0,0,1,0,0
